from,to,"""col"""
02y2c2646,Adaptation Biologique et Vieillissement,col
0293jn610,Adaptation et Diversité en Milieu Marin,col
058qr4y65,Alzheimer Precision Medicine,col
03f1mtj27,"Analyse, Recherche, Développement et Evaluation en Endourologie et Lithiase Urinaire",col
02r1kz177,Bioinformatique Moléculaire,col
03wg93s13,Biologie Intégrative des Organismes Marins,col
04w11tv37,Biologie cellulaire et Cancer,col
01tp1c480,Biologie des Organismes et Écosystèmes Aquatiques,col
04ezpxa16,Biologie du Chloroplaste et Perception de la Lumière chez les Microalgues,col
001r32c80,Biologie du chloroplaste et perception de la lumière chez les micro-algues,col
051k70002,Biologie évolutive et écologie des algues,col
01jnrzt83,Biomarqueurs d’urgence et de réanimation,col
01w108f05,Building Blocks for Future Electronics Laboratory,col
00fyy4d45,CERES - Centre d'expérimentation en méthodes numériques pour les recherches en sciences humaines et sociales,col
03jqm0b89,Centre André-Chastel,col
00s0m4j44,Centre Expert en Endométriose,col
01gapzp55,Centre Roland Mousnier,col
01zprwd36,Centre d'Acquisition et de Traitement des Images,col
0375b8f90,Centre d'Immunologie et des Maladies Infectieuses,col
04hrxxd90,Centre d'histoire du XIXe siècle,col
01exas502,Centre d'investigation clinique Quinze-Vingts,col
00sad8321,Centre d'Écologie et des Sciences de la Conservation,col
01acw3598,Centre d'Études Médiévales Anglaises,col
03wxndv36,Centre de Recherche Saint-Antoine,col
00dmms154,Centre de Recherche des Cordeliers,col
015th7t48,Centre de Recherche en Littérature Comparée,col
02e3eqz10,Centre de Recherche en Myologie,col
000nfmp17,Centre de Recherche sur l'Amérique Pré-hispanique,col
006jv0w93,Centre de Recherches Interdisciplinaires sur les Mondes Ibéro-américains Contemporains,col
04vwsc311,Centre de Recherches sur l’Extrême Orient de Paris – Sorbonne,col
02zzf0m94,Centre de linguistique en Sorbonne,col
05ax2x637,Centre de recherche en paléontologie - Paris,col
02d19mr69,Centre de recherches sur la pensée antique,col
059v8sw69,Centre d’étude de la langue et des littératures françaises,col
028ta1f94,Chimie de la Matière Condensée de Paris,col
03s877y45,Chimie du Solide et Energie,col
04xy2by41,Civilisations et littératures d'Espagne et d'Amérique du Moyen-Age aux Lumières,col
00njafa27,Complications Cardiovasculaires et Métaboliques chez les patients vivant avec le VIH,col
01w1erp60,Couplage Multi-physiques et Multi-échelles en mécanique géo-environnemental,col
015tg7676,Drépanocytose : groupe de Recherche de Paris – Sorbonne Université,col
02q6fa122,Dynamique de l'information génétique : bases fondamentales et cancer,col
04team556,Dynamique du noyau,col
015cf0x85,"Edition, Interprétation et traduction des textes anciens",col
05n2mnn68,Enzymologie de l'ARN,col
03ygj8248,"Europe orientale, balkanique et médiane",col
02zgjrf98,Fondation Sciences mathématiques de Paris,col
01ph0t361,Fondation Voir & Entendre,col
050c3pq49,Fondation pour l’innovation en Cadiométabolisme et Nutrition,col
0557mft23,"Formation, Innovation, Recherche, Services et Transfert en Temps-Fréquence",col
00kzsxx38,Groupe d'Étude des Méthodes de l'Analyse Sociologique de la Sorbonne,col
00b4yme84,Groupe de REcherche en Cardio Oncologie,col
05gzcy376,Groupe de Recherche Clinique en Neuro-urologie,col
01zpxh127,Groupe de recherche clinique Amylose AA Sorbonne Université,col
02zn90974,Groupe de recherche clinique en anesthésie réanimation médecine périopératoire,col
04n40rk24,Groupe de recherche clinique – Tumeurs Thyroïdiennes,col
04p8das24,Groupe de recherche interdisciplinaire sur les processus d'information et de communication,col
013s2ts57,Groupe d’Étude sur l’HyperTension Intra Crânienne idiopathique,col
01vrz7264,Génétique et biologie du développement,col
05xtktk35,Géoazur,col
011gr5n11,Handicap moteur et cognitif et réadaptation,col
011mac819,Histoire et Archéologie Maritimes,col
03vkkad71,Histoire et Dynamique des Espaces Anglophones: du Réel au Virtuel,col
00x677422,IMAGES : La médecine de la femme et de l’enfant assistée par l’image,col
01d7n9638,ITER,col
05dbe0t82,Immunologie - Immunopathologie - Immunothérapie,col
05dfxeg46,Institut Henri Poincaré,col
043we9s22,Institut Jean Le Rond d'Alembert,col
00kr24y60,Institut Langevin,col
04qwfwm19,Institut Parisien de Chimie Moléculaire,col
00xwwwr97,Institut Parisien de Chimie Physique et Théorique,col
